url,title,date,claim,rating,site
https://www.truthorfiction.com/minnesota-state-sen-steve-drazkowski-i-have-yet-to-meet-a-person-in-minnesota-that-is-hungry/,Sen. Steve Drazkowski: ‘I Have Yet to Meet a Person in Minnesota That is Hungry’,2023-03-15T21:22:55+00:00,“Minnesota Republican state Sen. Steve Drazkowski [commented on a] bill providing free school breakfast and lunch [and said]: ‘I have yet to meet a person in Minnesota that is hungry. Yet today. I have yet to meet a person in Minnesota that says they don’t have access to enough food to eat.'”,,truthorfiction
https://www.truthorfiction.com/chris-christie-ham-sandwich-tweet/,Chris Christie ‘Ham Sandwich’ Tweet,2023-03-20T19:14:33+00:00,"On March 18 2023, Gov. Chris Christie tweeted: “I’ve eaten ham sandwiches with more loyalty to the United States than Donald Trump.”",Not True,truthorfiction
https://www.truthorfiction.com/tennessee-sb-841-drag-performers-must-register-with-the-government/,"Tennessee SB 841, ‘Drag Performers Must Register With the Government’",2023-03-21T19:15:16+00:00,“[Tennessee Senate Bill] 841 … would force REGISTRATION of ‘male or female impersonators’ by means of forcing them to register for permits. It does not define what an impersonator is.”,Decontextualized,truthorfiction
https://www.truthorfiction.com/is-ohio-state-university-advising-students-against-voting-in-person-on-election-day-for-reasons-related-to-financial-aid/,Is Ohio State University Advising Students Against Voting in Person on Election Day for Reasons Related to Financial Aid?,2023-03-27T20:26:20+00:00,“Ohio State University is advising students against voting in person on election day because Ohio’s new strict voter ID rules could result in complications for their financial aid packages.”,Decontextualized,truthorfiction
https://www.truthorfiction.com/lauren-boebert-we-are-not-a-democracy-quote/,Lauren Boebert ‘We Are Not A Democracy’ Quote,2023-03-31T20:01:58+00:00,"In March 2023, Rep. Lauren Boebert (R) said: “We are not a democracy, so maybe quit with that.”",,truthorfiction
https://www.truthorfiction.com/desantis-disney-and-the-rule-against-perpetuities/,"DeSantis, Disney, and the ‘Rule Against Perpetuities’",2023-03-30T19:24:16+00:00,Lawyers for Disney invoked a “rule against perpetuities” or “King Charles III” related clause to protect their financial interests in an ongoing dispute with Florida Gov. Ron DeSantis.,,truthorfiction
https://www.truthorfiction.com/tennessee-republicans-move-to-expel-democratic-colleagues-following-gun-control-protest/,Tennessee Republicans Move to Expel Democratic Colleagues Following Gun Control Protest,2023-04-04T18:28:04+00:00,"On April 3 2023, lawmakers in Tennessee filed a resolution to expel three Democratic lawmakers over a gun control protest.",,truthorfiction
https://www.truthorfiction.com/ohios-strict-new-voter-id-law-tweet/,‘Ohio’s Strict New Voter ID Law’ Tweet,2023-04-04T21:56:46+00:00,“Ohio’s strict new voter ID law goes into effect” in April 2023.,,truthorfiction
https://www.truthorfiction.com/ginni-thomas-harlan-crow/,Clarence Thomas’ Right-Wing Benefactor Helped Ginni Thomas Become a Lobbyist,2023-04-11T21:52:34+00:00,Right-wing real estate mogul financed Ginni Thomas’ lobbying activities,True,truthorfiction
https://www.truthorfiction.com/are-food-stamps-snap-getting-cut/,Are Food Stamps (SNAP) Getting Cut?,2023-01-20T19:53:08+00:00,"In January 2023, Republican lawmakers “proposed new restrictions on the types of food eligible for purchase with SNAP benefits.” Proposed restrictions included sliced cheese, white grains, and “fresh meat.”",Decontextualized,truthorfiction
https://www.truthorfiction.com/jeff-younger-the-political-power-of-single-women-especially-single-mothers-must-be-diminished-tweet/,"Jeff Younger: ‘The Political Power of Single Women, Especially Single Mothers, Must Be Diminished’ Tweet",2023-01-25T19:45:42+00:00,"In January 2023, Jeff Younger (@JeffYoungerTX) tweeted: “The political power of single women, especially single mothers, must be diminished in order to regain traditional values, traditional family, and to reestablish social order.”",,truthorfiction
https://www.truthorfiction.com/kari-lake-arizona-investigation/,Election Denier Kari Lake Facing Investigation as Arizona GOP Further Embraces Conspiracy Theories,2023-02-01T00:26:34+00:00,Kari Lake wrongfully shared voter information,True,truthorfiction
https://www.truthorfiction.com/austin-dumpster-divers/,Were People in Austin Filmed Going Into a Dumpster for Food?,2023-02-06T17:01:48+00:00,"Residents in Austin, Texas were filmed going through a grocery store dumpster looking for food.",,truthorfiction
https://www.truthorfiction.com/wyoming-minimum-marriage-age/,Are Wyoming Republicans Opposing a Minimum Marriage Age?,2023-02-16T18:46:01+00:00,Republican state lawmakers in Wyoming are opposing a bill that would establish a minimum age for legal marriages.,Mixed,truthorfiction
https://www.truthorfiction.com/arizona-election-deniers-mark-finchem-wendy-rogers/,Arizona Election Deniers Wilted When Asked for Proof: Report,2023-02-22T22:50:42+00:00,Arizona Election Deniers Provided Proof of Fraud,False,truthorfiction
https://www.truthorfiction.com/epa-chief-ohio-gov-drink-tap-water-in-viral-video/,"EPA Chief, Ohio Gov. Drink Tap Water in Viral Video",2023-02-23T19:05:29+00:00,"February 2023 video shows three officials drinking tap water in East Palestine, Ohio, to prove it was safe after a train crash contaminated the region.",,truthorfiction
https://www.truthorfiction.com/eric-adams-church-and-state/,Did Eric Adams Trash the Separation of Church and State in Government?,2023-02-28T23:26:32+00:00,New York City Mayor Eric Adams criticized the separation of church and state during a public event.,,truthorfiction
https://www.truthorfiction.com/blaise-ingoglia-florida-republicans-and-the-ultimate-cancel-act/,"Blaise Ingoglia, Florida Republicans, and the ‘Ultimate Cancel Act’",2023-03-02T19:25:21+00:00,"Florida state senator Blaise Ingoglia introduced legislation in late February 2023, aimed at “canceling” the Democratic party in his state, on the basis Democrats once supported slavery.",Decontextualized,truthorfiction
https://www.truthorfiction.com/after-no-fault-divorce-was-legalized-in-1970-female-suicide-rates-dropped-20-percent/,"‘After No Fault Divorce Was Legalized in 1970, Female Suicide Rates Dropped 20 Percent’",2023-03-08T21:22:21+00:00,“After no fault divorce was legalized … female suicide rates dropped 20%.”,,truthorfiction
https://www.truthorfiction.com/mike-shirkey-retirement-speech/,Michigan Republican Leaves State Senate Regurgitating ‘Great Replacement’ Smears,2022-12-09T01:13:28+00:00,COVID-19 was a planned attack and herd immunity is the best protection,False,truthorfiction
https://www.truthorfiction.com/capitol-metal-detectors-removed/,Who Had the Metal Detectors Removed From the Capitol?,2023-01-03T21:53:57+00:00,The metal detectors were removed from the Capitol by the incoming right-wing House majority,Uncertain,truthorfiction
https://www.truthorfiction.com/george-santos-hand-gesture/,George Santos Hand Gesture,2023-01-06T20:50:29+00:00,A photograph shows Rep.-elect George Santos (R-New York) using a hand gesture associated with white supremacists in Congress on January 5 2023.,,truthorfiction
https://www.truthorfiction.com/john-deere-and-right-to-repair-explained/,"John Deere and ‘Right to Repair,’ Explained",2023-01-09T20:14:56+00:00,"In January 2023, American farmers “won” the “right to repair” John Deere equipment.",Decontextualized,truthorfiction
https://www.truthorfiction.com/gop-installs-election-denier-atop-homeland-security-committee/,GOP Installs Election Denier Atop Homeland Security Committee,2023-01-10T00:31:58+00:00,Rep. Mark Green denied the 2020 election results,True,truthorfiction
https://www.truthorfiction.com/george-santos-january-5/,"Before Being Elected, George Santos Pushed His Own ‘Stolen Election’ Hoax",2023-01-11T22:08:55+00:00,George Santos falsely claimed his election was stolen,False,truthorfiction
https://www.truthorfiction.com/janice-bowling-litter-boxes-leashes/,Tennessee Lawmaker Switches From School ‘Litter Box’ Hoax to ‘Leashes’ Narrative,2023-01-12T23:48:40+00:00,Tennessee lawmaker claims schools use ‘litter boxes’ and ‘leashes’,False,truthorfiction
https://www.truthorfiction.com/solomon-pena-trump-january-6/,"Failed GOP Candidate Embraced Disinformation, Violence in Shooting Plot",2023-01-18T00:10:42+00:00,Failed GOP Candidate Plotted Violent Attacks,True,truthorfiction
https://www.truthorfiction.com/a-georgia-republican-brags-that-voter-suppression-helped-them-in-2022/,‘A Georgia Republican Brags That Voter Suppression Helped Them in 2022’,2023-01-19T20:35:04+00:00,"In January 2023, Georgia Republican Kelly Loeffler “bragged” that voter suppression “helped” her party in 2022.",Decontextualized,truthorfiction
